topic,source_id,title,organization,year,evidence_class,source_type,url,allowed_uses
emergency,medlineplus_hypertensive_crisis,Hypertensive crisis,MedlinePlus,2026,official_health_education,patient_education,https://medlineplus.gov/ency/article/000491.htm,emergency_alert
emergency,nhs_high_blood_pressure,High blood pressure hypertension,National Health Service,2026,official_health_education,patient_education,https://www.nhs.uk/conditions/high-blood-pressure-hypertension/,emergency_alert;home_bp_monitoring;lifestyle
home_bp_monitoring,aha_ama_2020_smbp_policy_statement,Self-Measured Blood Pressure Monitoring at Home: A Joint Policy Statement From the American Heart Association and American Medical Association,American Heart Association / American Medical Association,2020,scientific_statement,policy_statement_pdf,https://pubmed.ncbi.nlm.nih.gov/32567342/,home_bp_monitoring;remeasurement;device_advice
home_bp_monitoring,aha_home_bp_measurement_instructions,Home Blood Pressure Measurement Instructions,American Heart Association,2025,official_health_education,patient_instruction_pdf,https://www.heart.org/-/media/files/health-topics/high-blood-pressure/how_to_measure_your_blood_pressure_letter_size.pdf,home_bp_monitoring;remeasurement;device_advice
home_bp_monitoring,aha_home_bp_monitoring_public,Home Blood Pressure Monitoring,American Heart Association,2026,official_health_education,patient_education,https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings/monitoring-your-blood-pressure-at-home,home_bp_monitoring;remeasurement;device_advice
home_bp_monitoring,ama_target_bp_measure_accurately,Target BP - Measure Accurately,American Medical Association / American Heart Association,2026,official_health_education,clinical_toolkit,https://targetbp.org/tools-downloads/,home_bp_monitoring;remeasurement;device_advice
home_bp_monitoring,cdc_managing_my_blood_pressure_questions,Managing My Blood Pressure - Questions to Ask My Doctor,Centers for Disease Control and Prevention,2026,official_health_education,patient_question_prompt_pdf,https://www.cdc.gov/heart-disease/docs/Managing_My_Blood_Pressure.pdf,home_bp_monitoring;lifestyle;disclaimer
home_bp_monitoring,cdc_measure_blood_pressure_home,Measure Your Blood Pressure,Centers for Disease Control and Prevention,2026,official_health_education,patient_education,https://www.cdc.gov/high-blood-pressure/measure/index.html,home_bp_monitoring;remeasurement;device_advice
home_bp_monitoring,cdc_million_hearts_smbp_action_guide,Million Hearts Self-Measured Blood Pressure Monitoring: Action Steps for Clinicians,Centers for Disease Control and Prevention / Million Hearts,2014,official_health_education,clinical_toolkit_pdf,https://stacks.cdc.gov/view/cdc/251870,home_bp_monitoring;remeasurement;device_advice
home_bp_monitoring,cdc_self_measured_bp_monitoring,Self-Measured Blood Pressure Monitoring,Centers for Disease Control and Prevention,2026,official_health_education,toolkit,https://www.cdc.gov/high-blood-pressure/php/toolkits/self-measured-blood-pressure-monitoring.html,home_bp_monitoring;remeasurement;device_advice
home_bp_monitoring,chinese_2011_bp_measurement_guideline,中国血压测量指南,中国高血压联盟 / 国家心血管病中心,2011,guideline,measurement_guideline,https://www.nccd.org.cn/UploadFile/201504/20150416170041172172.pdf,home_bp_monitoring;remeasurement;device_advice
home_bp_monitoring,esh_2021_home_bp_monitoring_position_paper,Home blood pressure monitoring - methodology clinical relevance and practical application,European Society of Hypertension,2021,scientific_statement,position_paper_pdf,https://sussex.figshare.com/articles/journal_contribution/Home_blood_pressure_monitoring_Methodology_clinical_relevance_and_practical_application_A_2021_position_paper_by_the_Working_Group_on_Blood_Pressure_Monitoring_and_Cardiovascular_Variability_of_the_European_Society_of_Hypertension/29269019,home_bp_monitoring;remeasurement;device_advice
home_bp_monitoring,esh_2023_hypertension_guideline,2023 ESH Guidelines for the management of arterial hypertension,European Society of Hypertension,2023,guideline,guideline,https://www.eshonline.org/guidelines/2023-guidelines/,home_bp_monitoring;remeasurement;special_population
home_bp_monitoring,ish_2020_global_guideline,2020 International Society of Hypertension Global Hypertension Practice Guidelines,International Society of Hypertension,2020,guideline,guideline,https://ish-world.com/global-hypertension-practice-guidelines/,home_bp_monitoring;remeasurement;lifestyle;special_population
home_bp_monitoring,medlineplus_measuring_blood_pressure,Blood pressure measurement,MedlinePlus,2026,official_health_education,patient_education,https://medlineplus.gov/ency/article/007490.htm,home_bp_monitoring;remeasurement
home_bp_monitoring,muntner_2019_aha_bp_measurement_scientific_statement,Measurement of Blood Pressure in Humans - A Scientific Statement From the American Heart Association,American Heart Association,2019,scientific_statement,scientific_statement_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC11409525/,home_bp_monitoring;remeasurement;device_advice;bp_category_reference
home_bp_monitoring,nhc_2024_hypertension_day_key_messages,2024年全国高血压日宣传要点,国家卫生健康委,2024,official_health_education,public_health_message,https://www.nhc.gov.cn/ylyjs/gzdt/202409/bfc23c5086044eb0b4879e58e4df69e1.shtml,home_bp_monitoring;lifestyle;remeasurement;disclaimer
home_bp_monitoring,nhc_2025_primary_care_hypertension_standard_ws_t_872,基层医疗卫生机构高血压防治管理标准 WS/T 872-2025,国家卫生健康委员会,2025,guideline,national_health_standard,https://www.nhc.gov.cn/fzs/c100048/202509/2f3f7cce449145f8b361e70b3ed4ae9a/files/WS%20T%20872%E2%80%942025-20250930105429913.pdf,home_bp_monitoring;remeasurement;lifestyle;special_population
home_bp_monitoring,nhlbi_self_measured_blood_pressure_fact_sheet,Self-Measured Blood Pressure,National Heart Lung and Blood Institute,2023,official_health_education,patient_instruction_pdf,https://www.nhlbi.nih.gov/resources/self-measured-blood-pressure-fact-sheet,home_bp_monitoring;remeasurement;device_advice
home_bp_monitoring,nice_ng136_hypertension,Hypertension in adults - diagnosis and management,National Institute for Health and Care Excellence,2023,guideline,guideline,https://www.nice.org.uk/guidance/ng136/chapter/1-Recommendations,home_bp_monitoring;remeasurement;bp_category_reference
home_bp_monitoring,uspstf_hypertension_screening_adults,Hypertension in Adults - Screening,U.S. Preventive Services Task Force,2021,guideline,recommendation_statement,https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/hypertension-in-adults-screening,home_bp_monitoring;remeasurement;bp_category_reference;disclaimer
lifestyle,aha_getting_active_bp,Getting Active to Control High Blood Pressure,American Heart Association,2026,official_health_education,patient_education,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/getting-active-to-control-high-blood-pressure,lifestyle
lifestyle,aha_life_essential_8_manage_blood_pressure,Life's Essential 8 - How to Manage Blood Pressure,American Heart Association,2026,official_health_education,patient_education_pdf,https://www.heart.org/-/media/Healthy-Living-Files/LE8-Fact-Sheets/LE8_How_To_Manage_Blood_Pressure.pdf,lifestyle
lifestyle,aha_lifestyle_manage_bp,Changes You Can Make to Manage High Blood Pressure,American Heart Association,2026,official_health_education,patient_education,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure,lifestyle;home_bp_monitoring
lifestyle,aha_reduce_high_blood_pressure_answers_by_heart,How Can I Lower High Blood Pressure?,American Heart Association,2025,official_health_education,patient_education_pdf,https://www.heart.org/-/media/files/health-topics/answers-by-heart/how-can-i-reduce-high-blood-pressure.pdf,lifestyle
lifestyle,aha_sodium_salt,Sodium and Salt,American Heart Association,2026,official_health_education,patient_education,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sodium/sodium-and-salt,lifestyle
lifestyle,aha_steps_to_improve_high_bp,Simple Steps to Improve Your High Blood Pressure,American Heart Association,2025,official_health_education,patient_education_pdf,https://www.heart.org/-/media/Files/Health-Topics/High-Blood-Pressure/Steps-To-Improve-High-BP.pdf,lifestyle
lifestyle,aha_stress_management,Managing Stress to Control High Blood Pressure,American Heart Association,2026,official_health_education,patient_education,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/managing-stress-to-control-high-blood-pressure,lifestyle
lifestyle,aha_weight_bp,Managing Weight to Control High Blood Pressure,American Heart Association,2026,official_health_education,patient_education,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/managing-weight-to-control-high-blood-pressure,lifestyle
lifestyle,cdc_high_bp_risk_factors,High Blood Pressure Risk Factors,Centers for Disease Control and Prevention,2026,official_health_education,patient_education,https://www.cdc.gov/high-blood-pressure/risk-factors/index.html,lifestyle;special_population
lifestyle,cdc_physical_activity_basics,Physical Activity Basics,Centers for Disease Control and Prevention,2026,official_health_education,patient_education,https://www.cdc.gov/physical-activity-basics/,lifestyle
lifestyle,cdc_prevent_high_blood_pressure,Prevent High Blood Pressure,Centers for Disease Control and Prevention,2026,official_health_education,patient_education,https://www.cdc.gov/high-blood-pressure/prevention/index.html,lifestyle
lifestyle,cdc_quit_smoking,How to Quit Smoking,Centers for Disease Control and Prevention,2026,official_health_education,patient_education,https://www.cdc.gov/tobacco/campaign/tips/quit-smoking/,lifestyle
lifestyle,chinese_2013_hypertension_patient_education_guideline,中国高血压患者教育指南,中国高血压患者教育指南编撰委员会,2013,patient_education,patient_education_guideline,https://www.nccd.org.cn/UploadFile/201504/20150418172843860860.pdf,lifestyle;home_bp_monitoring;disclaimer
lifestyle,medlineplus_high_blood_pressure,High Blood Pressure,MedlinePlus,2026,official_health_education,patient_education,https://medlineplus.gov/highbloodpressure.html,lifestyle;home_bp_monitoring;special_population
lifestyle,nhc_2024_hypertension_nutrition_exercise_guidance,高血压营养和运动指导原则（2024年版）,国家卫生健康委办公厅,2024,official_health_education,national_guidance,https://app.www.gov.cn/govdata/gov/202407/02/516820/article.html,lifestyle;special_population;home_bp_monitoring
lifestyle,nhlbi_dash_lowering_blood_pressure_guide,Your Guide to Lowering Your Blood Pressure with DASH,National Heart Lung and Blood Institute,2026,official_health_education,patient_education_pdf,https://www.nhlbi.nih.gov/files/docs/public/heart/new_dash.pdf,lifestyle
lifestyle,nia_sleep_health,A Good Night's Sleep,National Institute on Aging,2026,official_health_education,patient_education,https://www.nia.nih.gov/health/sleep/good-nights-sleep,lifestyle
lifestyle,nih_dash_eating_plan,DASH Eating Plan,National Heart Lung and Blood Institute,2026,official_health_education,patient_education,https://www.nhlbi.nih.gov/education/dash-eating-plan,lifestyle
measurement_quality,allen_2007_ppg_clinical_measurement_review,Photoplethysmography and its application in clinical physiological measurement,Physiological Measurement,2007,review,peer_reviewed_review,https://pubmed.ncbi.nlm.nih.gov/17322588/,signal_quality;cuffless_ppg_limitations;remeasurement;research_background
measurement_quality,arguello_prada_2024_ppg_motion_artifact_detection_review,Machine Learning Applied to Reference Signal-Less Detection of Motion Artifacts in Photoplethysmographic Signals - A Review,Sensors,2024,review,review_pdf,https://www.mdpi.com/1424-8220/24/22/7193,signal_quality;research_background
measurement_quality,bent_2020_wearable_optical_hr_inaccuracy,Investigating sources of inaccuracy in wearable optical heart rate sensors,npj Digital Medicine,2020,research_context,wearable_optical_sensor_accuracy_study,https://www.nature.com/articles/s41746-020-0226-6,signal_quality;research_background
measurement_quality,cabanas_2022_skin_pigmentation_pulse_oximetry_bibliometric,Skin Pigmentation Influence on Pulse Oximetry Accuracy - A Systematic Review and Bibliometric Analysis,Sensors,2022,review,systematic_review_pdf,https://www.mdpi.com/1424-8220/22/9/3402,signal_quality;research_background;disclaimer
measurement_quality,chandrasekhar_2020_contact_pressure_cuffless_bp,PPG Sensor Contact Pressure Should Be Taken Into Account for Cuff-Less Blood Pressure Measurement,IEEE Transactions on Biomedical Engineering,2020,research_context,cuffless_bp_contact_pressure_study,https://ieeexplore.ieee.org/document/9016235,signal_quality;cuffless_ppg_limitations;research_background
measurement_quality,charlton_2022_ppg_best_practices,Establishing best practices in photoplethysmography signal acquisition and processing,Physiological Measurement,2022,review,editorial_review,https://pmc.ncbi.nlm.nih.gov/articles/PMC9136485/,signal_quality;remeasurement;research_background
measurement_quality,charlton_2022_wearable_ppg_cardiovascular_review,Wearable Photoplethysmography for Cardiovascular Monitoring,Proceedings of the IEEE,2022,review,peer_reviewed_review,https://ieeexplore.ieee.org/document/9731763,signal_quality;cuffless_ppg_limitations;research_background
measurement_quality,charlton_2023_wearable_ppg_roadmap,The 2023 wearable photoplethysmography roadmap,Physiological Measurement,2023,review,roadmap_review,https://iopscience.iop.org/article/10.1088/1361-6579/acead2,signal_quality;cuffless_ppg_limitations;device_advice;research_background
measurement_quality,charlton_2025_wrist_ppg_signal_quality,Determinants of photoplethysmography signal quality at the wrist,PLOS Digital Health,2025,research_context,observational_signal_quality_study,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000585,signal_quality;research_background
measurement_quality,desquins_2022_ppg_quality_assessment_survey,A Survey of Photoplethysmography and Imaging Photoplethysmography Quality Assessment Methods,Applied Sciences,2022,review,quality_assessment_survey,https://www.mdpi.com/2076-3417/12/19/9582,signal_quality;remeasurement;research_background
measurement_quality,electronics_2023_ppg_wearable_devices_review,Photoplethysmography in Wearable Devices - A Comprehensive Review of Technological Advances Current Challenges and Future Directions,Electronics,2023,review,review_pdf,https://www.mdpi.com/2079-9292/12/13/2923,signal_quality;cuffless_ppg_limitations;research_background
measurement_quality,fda_pulse_oximeter_limitations,Pulse Oximeter Accuracy and Limitations,U.S. Food and Drug Administration,2026,official_health_education,safety_communication,https://www.fda.gov/medical-devices/safety-communications/pulse-oximeter-accuracy-and-limitations-fda-safety-communication,signal_quality;cuffless_ppg_limitations
measurement_quality,fine_2021_ppg_sources_of_inaccuracy,Sources of Inaccuracy in Photoplethysmography for Continuous Cardiovascular Monitoring,Biosensors,2021,review,review_pdf,https://www.mdpi.com/2079-6374/11/4/126,signal_quality;cuffless_ppg_limitations;research_background
measurement_quality,frontiers_2019_ppg_measurement_site_waveform,Quantitative Comparison of Photoplethysmographic Waveform Characteristics - Effect of Measurement Site,Frontiers in Physiology,2019,research_context,research_article_pdf,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2019.00198/full,signal_quality;research_background
measurement_quality,lee_2013_rgb_reflection_ppg_motion_hr,Comparison between red green and blue light reflection photoplethysmography for heart rate monitoring during motion,IEEE EMBC / Kanazawa University Repository,2013,research_context,conference_paper_pdf,https://kanazawa-u.repo.nii.ac.jp/record/8500/files/TE-PR-YAMAKOSHI-T-1724.pdf,signal_quality;research_background
measurement_quality,lee_2021_skin_compatible_wearable_ppg,Systematic Review on Human Skin-Compatible Wearable Photoplethysmography Sensors,Applied Sciences,2021,review,systematic_review_pdf,https://www.mdpi.com/2076-3417/11/5/2313,signal_quality;research_background
measurement_quality,local_capture_environment_rule,Camera PPG capture environment rule,project,2026,safety_rule,local_safety_rule,,signal_quality;remeasurement;cuffless_ppg_limitations
measurement_quality,local_confidence_interpretation_rule,Model confidence interpretation rule,project,2026,safety_rule,local_safety_rule,,signal_quality;remeasurement
measurement_quality,local_ppg_signal_quality_rule,PPG signal quality and confidence safety rule,project,2026,safety_rule,local_safety_rule,,signal_quality;remeasurement;cuffless_ppg_limitations
measurement_quality,park_2022_ppg_analysis_applications_integrative_review,Photoplethysmogram Analysis and Applications - An Integrative Review,Frontiers in Physiology,2022,review,review_pdf,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2021.808451/full,signal_quality;cuffless_ppg_limitations;research_background
measurement_quality,shi_2022_skin_pigmentation_pulse_oximetry_systematic_review,The accuracy of pulse oximetry in measuring oxygen saturation by levels of skin pigmentation - a systematic review and meta-analysis,BMC Medicine,2022,review,systematic_review_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC9377806/,signal_quality;research_background;disclaimer
measurement_quality,shirbani_2020_ambient_light_skin_tone_vpg,Effect of Ambient Lighting and Skin Tone on Estimation of Heart Rate and Pulse Transit Time from Video Plethysmography,IEEE EMBC,2020,research_context,video_ppg_lighting_skin_tone_study,https://ieeexplore.ieee.org/document/9176731,signal_quality;research_background
measurement_quality,sjoding_2020_racial_bias_pulse_oximetry,Racial Bias in Pulse Oximetry Measurement,New England Journal of Medicine,2020,research_context,research_letter_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC7808260/,signal_quality;research_background;disclaimer
measurement_quality,sun_2016_ppg_revisited_contact_noncontact_imaging,Photoplethysmography Revisited - From Contact to Noncontact From Point to Imaging,IEEE Transactions on Biomedical Engineering,2016,review,review_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC4822420/,signal_quality;cuffless_ppg_limitations;research_background
measurement_quality,tamura_2014_wearable_ppg_sensors_past_present,Wearable Photoplethysmographic Sensors - Past and Present,Electronics,2014,review,review_pdf,https://www.mdpi.com/2079-9292/3/2/282,signal_quality;research_background
measurement_quality,tamura_2019_current_progress_ppg_spo2,Current progress of photoplethysmography and SpO2 for health monitoring,Biomedical Engineering Letters,2019,review,review_pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC6431353/,signal_quality;research_background
measurement_quality,teng_2004_contact_force_ppg,The effect of contacting force on photoplethysmographic signals,Physiological Measurement,2004,research_context,contact_force_study,https://pubmed.ncbi.nlm.nih.gov/15535195/,signal_quality;research_background
medication_safety,aha_bp_medicines_patient,Types of Blood Pressure Medications,American Heart Association,2026,official_health_education,patient_education,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/types-of-blood-pressure-medications,medication_safety;special_population
medication_safety,fda_taking_medicines_safely,Tips for taking medicines safely,U.S. Food and Drug Administration,2026,official_health_education,patient_education,https://www.fda.gov/drugs/resources-you-drugs/tips-taking-medicines-safely,medication_safety
medication_safety,local_medication_safety_rule,Medication safety boundary rule,project,2026,safety_rule,local_safety_rule,,medication_safety;special_population
medication_safety,medlineplus_high_bp_medicines,High blood pressure medicines,MedlinePlus,2026,official_health_education,patient_education,https://medlineplus.gov/highbloodpressuremedicines.html,medication_safety;special_population
medication_safety,who_2021_hypertension_pharmacological_treatment_guideline,Guideline for the pharmacological treatment of hypertension in adults,World Health Organization,2021,guideline,pharmacological_treatment_guideline,https://iris.who.int/bitstreams/f062769d-f075-4a00-87af-0a2106e0bd04/download,medication_safety;special_population;home_bp_monitoring
special_population,acog_preeclampsia_faq,Preeclampsia and High Blood Pressure During Pregnancy FAQ,American College of Obstetricians and Gynecologists,2026,official_health_education,patient_education,https://www.acog.org/womens-health/faqs/preeclampsia-and-high-blood-pressure-during-pregnancy,special_population
special_population,ada_2026_standards_cvd_bp,Cardiovascular Disease and Risk Management - Standards of Care in Diabetes 2026,American Diabetes Association,2026,guideline,guideline,https://pmc.ncbi.nlm.nih.gov/articles/PMC12690187/,special_population;medication_safety;home_bp_monitoring
special_population,ada_diabetes_bp,Diabetes and High Blood Pressure,American Diabetes Association,2026,official_health_education,patient_education,https://diabetes.org/health-wellness/high-blood-pressure,special_population;lifestyle;home_bp_monitoring
special_population,aha_diabetes_high_bp,Diabetes and high blood pressure risk,American Heart Association,2026,official_health_education,patient_education,https://www.heart.org/en/health-topics/diabetes/why-diabetes-matters/cardiovascular-disease--diabetes,special_population;lifestyle
special_population,aha_kidney_disease_high_bp,High Blood Pressure and Kidney Disease,American Heart Association,2026,official_health_education,patient_education,https://www.heart.org/en/health-topics/high-blood-pressure/health-threats-from-high-blood-pressure/high-blood-pressure-and-kidney-disease,special_population
special_population,aha_pregnancy_blood_pressure_categories,Blood Pressure Categories for Individuals who are Pregnant,American Heart Association,2025,official_health_education,patient_education_pdf,https://www.heart.org/-/media/GRFW-Files/Know-Your-Risk/Maternal-Health/Pregnancy_Blood_Pressure_Categories.pdf?sc_lang=en,special_population;emergency_alert;remeasurement
special_population,aha_women_high_bp,Women and high blood pressure,American Heart Association,2026,official_health_education,patient_education,https://www.heart.org/en/health-topics/high-blood-pressure/know-your-risk-factors-for-high-blood-pressure/women-and-high-blood-pressure,special_population
special_population,cdc_bp_pregnancy,High Blood Pressure During Pregnancy,Centers for Disease Control and Prevention,2026,official_health_education,patient_education,https://www.cdc.gov/high-blood-pressure/about/high-blood-pressure-during-pregnancy.html,special_population
special_population,cdc_ckd_risk_factors,Chronic Kidney Disease Risk Factors,Centers for Disease Control and Prevention,2026,official_health_education,patient_education,https://www.cdc.gov/kidney-disease/risk-factors/index.html,special_population
special_population,chinese_2023_elderly_hypertension_management_guideline,中国老年高血压管理指南2023,中国老年医学学会高血压分会 / 北京高血压防治协会,2023,guideline,special_population_guideline,https://medtion-image.medtion.com/uploads/1/file/public/202312/20231222151125_hjo32b9lsf.pdf,special_population;home_bp_monitoring;remeasurement;medication_safety
special_population,chinese_2025_secondary_hypertension_screening_consensus,继发性高血压筛查和诊断中国专家共识,中国高血压联盟等,2025,guideline,expert_consensus,https://bookcafe.yuntsg.com/ueditor/jsp/upload/file/20260117/1768636681085056202.pdf,special_population;home_bp_monitoring;disclaimer
special_population,kdigo_2024_ckd_guideline,KDIGO 2024 Clinical Practice Guideline for the Evaluation and Management of Chronic Kidney Disease,Kidney Disease - Improving Global Outcomes,2024,guideline,guideline,https://kdigo.org/guidelines/ckd-evaluation-and-management/kdigo-2024-ckd-guideline/,special_population;medication_safety;home_bp_monitoring
special_population,local_special_population_rule,Special population conservative advice rule,project,2026,safety_rule,local_safety_rule,,special_population;medication_safety
special_population,nhlbi_preeclampsia_pregnancy,Preeclampsia and High Blood Pressure During Pregnancy,"National Heart, Lung, and Blood Institute",2026,official_health_education,patient_education,https://www.nhlbi.nih.gov/health/high-blood-pressure/pregnancy,special_population
special_population,nia_high_blood_pressure_older_adults,High Blood Pressure and Older Adults,National Institute on Aging,2026,official_health_education,patient_education,https://www.nia.nih.gov/health/high-blood-pressure/high-blood-pressure-and-older-adults,special_population;home_bp_monitoring
special_population,nkf_high_bp_ckd,High Blood Pressure and Chronic Kidney Disease,National Kidney Foundation,2026,patient_education,patient_education,https://www.kidney.org/kidney-topics/high-blood-pressure-and-chronic-kidney-disease,special_population;home_bp_monitoring
