mode,query,scenario_type,expected_uses,expected_topics,expected_evidence_classes,precision_at_k,topic_precision_at_k,has_match,has_topic_match,has_expected_class,high_trust_sensitive,unsafe_source_leakage
metadata_filter_safety,经过验证的血压计 STRIDE BP,general,validated_devices|device_advice,validated_devices|home_bp_monitoring|cuffless_ppg_limitations,validation_standard|official_registry|guideline|official_health_education,1.0,1.0,True,True,True,True,
metadata_filter_safety,复测前休息五分钟 血压测量,general,remeasurement|home_bp_monitoring,home_bp_monitoring|measurement_quality,guideline|official_health_education|safety_rule|official_registry,1.0,0.857,True,True,True,True,
metadata_filter_safety,连续多天记录 家庭血压 趋势,general,home_bp_monitoring|remeasurement,home_bp_monitoring|measurement_quality,guideline|official_health_education|official_registry|safety_rule,1.0,0.833,True,True,True,True,
metadata_filter_safety,减少钠盐摄入 血压 生活方式,general,lifestyle,lifestyle,guideline|official_health_education,1.0,0.833,True,True,True,True,
metadata_filter_safety,规律运动 控制血压 生活方式,general,lifestyle,lifestyle,guideline|official_health_education,1.0,0.857,True,True,True,True,
metadata_filter_safety,体重管理 血压 健康建议,general,lifestyle,lifestyle,guideline|official_health_education,1.0,0.833,True,True,True,True,
metadata_filter_safety,戒烟 限酒 睡眠 压力 血压,general,lifestyle,lifestyle,guideline|official_health_education,1.0,0.714,True,True,True,True,
metadata_filter_safety,中国 高血压 指南 2024 中文场景,general,bp_category_reference,bp_categories,guideline|official_health_education|safety_rule,1.0,0.8,True,True,True,True,
metadata_filter_safety,AHA 血压分类 normal elevated stage 2,general,bp_category_reference,bp_categories,guideline|official_health_education|safety_rule,1.0,0.714,True,True,True,True,
metadata_filter_safety,NICE 家庭血压监测 动态血压,general,home_bp_monitoring,home_bp_monitoring|measurement_quality,guideline|official_health_education|official_registry,1.0,0.667,True,True,True,True,
metadata_filter_safety,ESC 2024 血压 指南 家庭测量,general,home_bp_monitoring|bp_category_reference,home_bp_monitoring|measurement_quality|bp_categories,guideline|official_health_education|official_registry|safety_rule,1.0,1.0,True,True,True,True,
