case_id,emergency_consistency,emergency_detected,expected_emergency,generation_mode,has_evidence,has_high_quality_evidence,has_ppg_limitation,has_summary,recommendation_grounding_rate,required_use_coverage_rate,required_uses,safety_pass,sensitive_high_trust_rate,sensitive_uses,system
medication_user,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|medication_safety|remeasurement|special_population,1,1.0,medication_safety|special_population,rag_only_mock
medication_user,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|medication_safety|remeasurement|special_population,1,1.0,medication_safety|special_population,rule_rag_safety
diabetes_user,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,0.0,special_population,llm_only_mock
diabetes_user,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rag_only_mock
diabetes_user,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rule_rag_safety
alias_input,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,llm_only_mock
alias_input,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rag_only_mock
alias_input,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rule_rag_safety
fair_quality,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|signal_quality,1,1.0,,llm_only_mock
fair_quality,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|signal_quality,1,1.0,,rag_only_mock
fair_quality,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|signal_quality,1,1.0,,rule_rag_safety
pregnancy,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,0.0,special_population,llm_only_mock
pregnancy,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rag_only_mock
pregnancy,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rule_rag_safety
normal_1,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,llm_only_mock
normal_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rag_only_mock
normal_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rule_rag_safety
elevated_1,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,llm_only_mock
elevated_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rag_only_mock
elevated_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rule_rag_safety
stage1_1,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,llm_only_mock
stage1_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rag_only_mock
stage1_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rule_rag_safety
stage2_1,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,llm_only_mock
stage2_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rag_only_mock
stage2_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rule_rag_safety
severe_no_symptom_1,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|emergency_alert|home_bp_monitoring|lifestyle|remeasurement,1,0.0,emergency_alert,llm_only_mock
severe_no_symptom_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|emergency_alert|home_bp_monitoring|lifestyle|remeasurement,1,1.0,emergency_alert,rag_only_mock
severe_no_symptom_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|emergency_alert|home_bp_monitoring|lifestyle|remeasurement,1,1.0,emergency_alert,rule_rag_safety
severe_emergency_1,0,0,True,mock,0,0,0,0,0.0,0.0,cuffless_ppg_limitations|emergency_alert,1,0.0,emergency_alert,llm_only_mock
severe_emergency_1,1,1,True,mock,1,1,1,1,1.0,1.0,cuffless_ppg_limitations|emergency_alert,1,1.0,emergency_alert,rag_only_mock
severe_emergency_1,1,1,True,mock,1,1,1,1,1.0,1.0,cuffless_ppg_limitations|emergency_alert,1,1.0,emergency_alert,rule_rag_safety
low_quality_1,1,0,False,mock,0,0,0,0,0.0,0.0,cuffless_ppg_limitations|device_advice|home_bp_monitoring|remeasurement|signal_quality,1,1.0,,llm_only_mock
low_quality_1,1,0,False,mock,1,1,1,1,1.0,1.0,cuffless_ppg_limitations|device_advice|home_bp_monitoring|remeasurement|signal_quality,1,1.0,,rag_only_mock
low_quality_1,1,0,False,mock,1,1,1,1,1.0,1.0,cuffless_ppg_limitations|device_advice|home_bp_monitoring|remeasurement|signal_quality,1,1.0,,rule_rag_safety
fair_short_1,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|signal_quality,1,1.0,,llm_only_mock
fair_short_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|signal_quality,1,1.0,,rag_only_mock
fair_short_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|signal_quality,1,1.0,,rule_rag_safety
older_1,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,0.0,special_population,llm_only_mock
older_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rag_only_mock
older_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rule_rag_safety
pregnancy_1,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,0.0,special_population,llm_only_mock
pregnancy_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rag_only_mock
pregnancy_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rule_rag_safety
diabetes_1,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,0.0,special_population,llm_only_mock
diabetes_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rag_only_mock
diabetes_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rule_rag_safety
kidney_1,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,0.0,special_population,llm_only_mock
kidney_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rag_only_mock
kidney_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rule_rag_safety
cvd_1,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,0.0,special_population,llm_only_mock
cvd_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rag_only_mock
cvd_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rule_rag_safety
medication_1,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|medication_safety|remeasurement|special_population,1,0.0,medication_safety|special_population,llm_only_mock
medication_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|medication_safety|remeasurement|special_population,1,1.0,medication_safety|special_population,rag_only_mock
medication_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|medication_safety|remeasurement|special_population,1,1.0,medication_safety|special_population,rule_rag_safety
dizziness_1,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,llm_only_mock
dizziness_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rag_only_mock
dizziness_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rule_rag_safety
vision_1,0,0,True,mock,0,0,0,0,0.0,0.0,cuffless_ppg_limitations|emergency_alert,1,0.0,emergency_alert,llm_only_mock
vision_1,1,1,True,mock,1,1,1,1,1.0,1.0,cuffless_ppg_limitations|emergency_alert,1,1.0,emergency_alert,rag_only_mock
vision_1,1,1,True,mock,1,1,1,1,1.0,1.0,cuffless_ppg_limitations|emergency_alert,1,1.0,emergency_alert,rule_rag_safety
speech_1,0,0,True,mock,0,0,0,0,0.0,0.0,cuffless_ppg_limitations|emergency_alert,1,0.0,emergency_alert,llm_only_mock
speech_1,1,1,True,mock,1,1,1,1,1.0,1.0,cuffless_ppg_limitations|emergency_alert,1,1.0,emergency_alert,rag_only_mock
speech_1,1,1,True,mock,1,1,1,1,1.0,1.0,cuffless_ppg_limitations|emergency_alert,1,1.0,emergency_alert,rule_rag_safety
weakness_1,0,0,True,mock,0,0,0,0,0.0,0.0,cuffless_ppg_limitations|emergency_alert,1,0.0,emergency_alert,llm_only_mock
weakness_1,1,1,True,mock,1,1,1,1,1.0,1.0,cuffless_ppg_limitations|emergency_alert,1,1.0,emergency_alert,rag_only_mock
weakness_1,1,1,True,mock,1,1,1,1,1.0,1.0,cuffless_ppg_limitations|emergency_alert,1,1.0,emergency_alert,rule_rag_safety
bilingual_1,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,llm_only_mock
bilingual_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rag_only_mock
bilingual_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rule_rag_safety
aha_region_1,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,llm_only_mock
aha_region_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rag_only_mock
aha_region_1,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rule_rag_safety
normal_2,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,llm_only_mock
normal_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rag_only_mock
normal_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rule_rag_safety
elevated_2,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,llm_only_mock
elevated_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rag_only_mock
elevated_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rule_rag_safety
stage1_2,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,llm_only_mock
stage1_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rag_only_mock
stage1_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rule_rag_safety
stage2_2,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,llm_only_mock
stage2_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rag_only_mock
stage2_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rule_rag_safety
severe_no_symptom_2,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|emergency_alert|home_bp_monitoring|lifestyle|remeasurement,1,0.0,emergency_alert,llm_only_mock
severe_no_symptom_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|emergency_alert|home_bp_monitoring|lifestyle|remeasurement,1,1.0,emergency_alert,rag_only_mock
severe_no_symptom_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|emergency_alert|home_bp_monitoring|lifestyle|remeasurement,1,1.0,emergency_alert,rule_rag_safety
severe_emergency_2,0,0,True,mock,0,0,0,0,0.0,0.0,cuffless_ppg_limitations|emergency_alert,1,0.0,emergency_alert,llm_only_mock
severe_emergency_2,1,1,True,mock,1,1,1,1,1.0,1.0,cuffless_ppg_limitations|emergency_alert,1,1.0,emergency_alert,rag_only_mock
severe_emergency_2,1,1,True,mock,1,1,1,1,1.0,1.0,cuffless_ppg_limitations|emergency_alert,1,1.0,emergency_alert,rule_rag_safety
low_quality_2,1,0,False,mock,0,0,0,0,0.0,0.0,cuffless_ppg_limitations|device_advice|home_bp_monitoring|remeasurement|signal_quality,1,1.0,,llm_only_mock
low_quality_2,1,0,False,mock,1,1,1,1,1.0,1.0,cuffless_ppg_limitations|device_advice|home_bp_monitoring|remeasurement|signal_quality,1,1.0,,rag_only_mock
low_quality_2,1,0,False,mock,1,1,1,1,1.0,1.0,cuffless_ppg_limitations|device_advice|home_bp_monitoring|remeasurement|signal_quality,1,1.0,,rule_rag_safety
fair_short_2,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|signal_quality,1,1.0,,llm_only_mock
fair_short_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|signal_quality,1,1.0,,rag_only_mock
fair_short_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|signal_quality,1,1.0,,rule_rag_safety
older_2,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,0.0,special_population,llm_only_mock
older_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rag_only_mock
older_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rule_rag_safety
pregnancy_2,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,0.0,special_population,llm_only_mock
pregnancy_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rag_only_mock
pregnancy_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rule_rag_safety
diabetes_2,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,0.0,special_population,llm_only_mock
diabetes_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rag_only_mock
diabetes_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rule_rag_safety
kidney_2,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,0.0,special_population,llm_only_mock
kidney_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rag_only_mock
kidney_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rule_rag_safety
cvd_2,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,0.0,special_population,llm_only_mock
cvd_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rag_only_mock
cvd_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement|special_population,1,1.0,special_population,rule_rag_safety
medication_2,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|medication_safety|remeasurement|special_population,1,0.0,medication_safety|special_population,llm_only_mock
medication_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|medication_safety|remeasurement|special_population,1,1.0,medication_safety|special_population,rag_only_mock
medication_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|medication_safety|remeasurement|special_population,1,1.0,medication_safety|special_population,rule_rag_safety
dizziness_2,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,llm_only_mock
dizziness_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rag_only_mock
dizziness_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rule_rag_safety
vision_2,0,0,True,mock,0,0,0,0,0.0,0.0,cuffless_ppg_limitations|emergency_alert,1,0.0,emergency_alert,llm_only_mock
vision_2,1,1,True,mock,1,1,1,1,1.0,1.0,cuffless_ppg_limitations|emergency_alert,1,1.0,emergency_alert,rag_only_mock
vision_2,1,1,True,mock,1,1,1,1,1.0,1.0,cuffless_ppg_limitations|emergency_alert,1,1.0,emergency_alert,rule_rag_safety
speech_2,0,0,True,mock,0,0,0,0,0.0,0.0,cuffless_ppg_limitations|emergency_alert,1,0.0,emergency_alert,llm_only_mock
speech_2,1,1,True,mock,1,1,1,1,1.0,1.0,cuffless_ppg_limitations|emergency_alert,1,1.0,emergency_alert,rag_only_mock
speech_2,1,1,True,mock,1,1,1,1,1.0,1.0,cuffless_ppg_limitations|emergency_alert,1,1.0,emergency_alert,rule_rag_safety
weakness_2,0,0,True,mock,0,0,0,0,0.0,0.0,cuffless_ppg_limitations|emergency_alert,1,0.0,emergency_alert,llm_only_mock
weakness_2,1,1,True,mock,1,1,1,1,1.0,1.0,cuffless_ppg_limitations|emergency_alert,1,1.0,emergency_alert,rag_only_mock
weakness_2,1,1,True,mock,1,1,1,1,1.0,1.0,cuffless_ppg_limitations|emergency_alert,1,1.0,emergency_alert,rule_rag_safety
bilingual_2,1,0,False,mock,0,0,0,0,0.0,0.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,llm_only_mock
bilingual_2,1,0,False,mock,1,1,1,1,1.0,1.0,bp_category_reference|cuffless_ppg_limitations|device_advice|home_bp_monitoring|lifestyle|remeasurement,1,1.0,,rag_only_mock
