source_id,title,organization,year,region,topic,evidence_class,source_quality_score,candidate_priority,page_count,chunk_count,text_status,allowed_uses,local_pdf,url,doi
uspstf_hypertension_screening_adults,Hypertension in Adults - Screening,U.S. Preventive Services Task Force,2021,US,home_bp_monitoring,guideline,23,3,7,63,已切分入向量索引,home_bp_monitoring；remeasurement；bp_category_reference；disclaimer,knowledge_base/sources/downloads/uspstf_hypertension_screening_adults.pdf,https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/hypertension-in-adults-screening,
esh_2023_hypertension_guideline,2023 ESH Guidelines for the management of arterial hypertension,European Society of Hypertension,2023,EU,home_bp_monitoring,guideline,21,4,199,1976,已切分入向量索引,home_bp_monitoring；remeasurement；special_population,knowledge_base/sources/downloads/esh_2023_hypertension_guideline.pdf,https://www.eshonline.org/guidelines/2023-guidelines/,
nhlbi_self_measured_blood_pressure_fact_sheet,Self-Measured Blood Pressure,National Heart Lung and Blood Institute,2023,US,home_bp_monitoring,official_health_education,24,3,2,5,已切分入向量索引,home_bp_monitoring；remeasurement；device_advice,knowledge_base/sources/downloads/nhlbi_self_measured_blood_pressure_fact_sheet.pdf,https://www.nhlbi.nih.gov/resources/self-measured-blood-pressure-fact-sheet,
nice_ng136_hypertension,Hypertension in adults - diagnosis and management,National Institute for Health and Care Excellence,2023,UK,home_bp_monitoring,guideline,24,3,52,169,已切分入向量索引,home_bp_monitoring；remeasurement；bp_category_reference,knowledge_base/sources/downloads/nice_ng136_hypertension.pdf,https://www.nice.org.uk/guidance/ng136/chapter/1-Recommendations,
aha_home_bp_measurement_instructions,Home Blood Pressure Measurement Instructions,American Heart Association,2025,AHA,home_bp_monitoring,official_health_education,25,2,1,4,已切分入向量索引,home_bp_monitoring；remeasurement；device_advice,knowledge_base/sources/downloads/aha_home_bp_measurement_instructions.pdf,https://www.heart.org/-/media/files/health-topics/high-blood-pressure/how_to_measure_your_blood_pressure_letter_size.pdf,
nhc_2025_primary_care_hypertension_standard_ws_t_872,基层医疗卫生机构高血压防治管理标准 WS/T 872-2025,国家卫生健康委员会,2025,CN,home_bp_monitoring,guideline,25,2,8,10,已切分入向量索引,home_bp_monitoring；remeasurement；lifestyle；special_population,knowledge_base/sources/downloads/nhc_2025_primary_care_hypertension_standard_ws_t_872.pdf,https://www.nhc.gov.cn/fzs/c100048/202509/2f3f7cce449145f8b361e70b3ed4ae9a/files/WS%20T%20872%E2%80%942025-20250930105429913.pdf,
cdc_managing_my_blood_pressure_questions,Managing My Blood Pressure - Questions to Ask My Doctor,Centers for Disease Control and Prevention,2026,US,home_bp_monitoring,official_health_education,23,4,1,3,已切分入向量索引,home_bp_monitoring；lifestyle；disclaimer,knowledge_base/sources/downloads/cdc_managing_my_blood_pressure_questions.pdf,https://www.cdc.gov/heart-disease/docs/Managing_My_Blood_Pressure.pdf,
chinese_2013_hypertension_patient_education_guideline,中国高血压患者教育指南,中国高血压患者教育指南编撰委员会,2013,CN,lifestyle,patient_education,21,4,77,81,已切分入向量索引,lifestyle；home_bp_monitoring；disclaimer,knowledge_base/sources/downloads/chinese_2013_hypertension_patient_education_guideline.pdf,https://www.nccd.org.cn/UploadFile/201504/20150418172843860860.pdf,
nhc_ws_t_430_2013_hypertension_dietary_guidance,高血压患者膳食指导 WS/T 430-2013,国家卫生健康委员会,2013,CN,lifestyle,validation_standard,20,4,12,0,PDF在本地，但未抽出有效文本,lifestyle；home_bp_monitoring；remeasurement,knowledge_base/sources/downloads/nhc_ws_t_430_2013_hypertension_dietary_guidance.pdf,https://www.nhc.gov.cn/wjw/yingyang/201308/cce5017663e6457d98db7be683c36b4c.shtml,
healthy_china_2019_2030_action,健康中国行动（2019-2030年）,健康中国行动推进委员会,2019,CN,lifestyle,official_health_education,21,4,108,121,已切分入向量索引,lifestyle；home_bp_monitoring；remeasurement；disclaimer,knowledge_base/sources/downloads/healthy_china_2019_2030_action.pdf,https://www.nhc.gov.cn/cms-search/downFiles/470339610aea4a7887d0810b4c00c9bd.pdf,
nhc_2023_adult_hypertension_dietary_guideline,成人高血压食养指南（2023年版）,国家卫生健康委办公厅,2023,CN,lifestyle,guideline,24,2,56,67,已切分入向量索引,lifestyle；home_bp_monitoring；remeasurement；special_population,knowledge_base/sources/downloads/nhc_2023_adult_hypertension_dietary_guideline.pdf,https://www.nhc.gov.cn/sps/c100088/202301/f01895a06c5349ef999f25da833c166d.shtml,
nhc_2024_hypertension_nutrition_exercise_guidance,高血压营养和运动指导原则（2024年版）,国家卫生健康委办公厅,2024,CN,lifestyle,official_health_education,25,3,14,1,已切分入向量索引,lifestyle；special_population；home_bp_monitoring,knowledge_base/sources/downloads/nhc_2024_hypertension_nutrition_exercise_guidance.pdf,https://app.www.gov.cn/govdata/gov/202407/02/516820/article.html,
aha_reduce_high_blood_pressure_answers_by_heart,How Can I Lower High Blood Pressure?,American Heart Association,2025,AHA,lifestyle,official_health_education,24,3,2,8,已切分入向量索引,lifestyle,knowledge_base/sources/downloads/aha_reduce_high_blood_pressure_answers_by_heart.pdf,https://www.heart.org/-/media/files/health-topics/answers-by-heart/how-can-i-reduce-high-blood-pressure.pdf,
aha_steps_to_improve_high_bp,Simple Steps to Improve Your High Blood Pressure,American Heart Association,2025,AHA,lifestyle,official_health_education,24,3,1,4,已切分入向量索引,lifestyle,knowledge_base/sources/downloads/aha_steps_to_improve_high_bp.pdf,https://www.heart.org/-/media/Files/Health-Topics/High-Blood-Pressure/Steps-To-Improve-High-BP.pdf,
aha_life_essential_8_manage_blood_pressure,Life's Essential 8 - How to Manage Blood Pressure,American Heart Association,2026,AHA,lifestyle,official_health_education,23,4,1,5,已切分入向量索引,lifestyle,knowledge_base/sources/downloads/aha_life_essential_8_manage_blood_pressure.pdf,https://www.heart.org/-/media/Healthy-Living-Files/LE8-Fact-Sheets/LE8_How_To_Manage_Blood_Pressure.pdf,
nhlbi_dash_lowering_blood_pressure_guide,Your Guide to Lowering Your Blood Pressure with DASH,National Heart Lung and Blood Institute,2026,US,lifestyle,official_health_education,24,3,64,116,已切分入向量索引,lifestyle,knowledge_base/sources/downloads/nhlbi_dash_lowering_blood_pressure_guide.pdf,https://www.nhlbi.nih.gov/files/docs/public/heart/new_dash.pdf,
teng_2004_contact_force_ppg,The effect of contacting force on photoplethysmographic signals,Physiological Measurement,2004,global,measurement_quality,research_context,18,5,14,60,已切分入向量索引,signal_quality；research_background,knowledge_base/sources/downloads/teng_2004_contact_force_ppg.pdf,https://pubmed.ncbi.nlm.nih.gov/15535195/,10.1088/0967-3334/25/5/020
allen_2007_ppg_clinical_measurement_review,Photoplethysmography and its application in clinical physiological measurement,Physiological Measurement,2007,global,measurement_quality,review,19,5,40,234,已切分入向量索引,signal_quality；cuffless_ppg_limitations；remeasurement；research_background,knowledge_base/sources/downloads/allen_2007_ppg_clinical_measurement_review.pdf,https://pubmed.ncbi.nlm.nih.gov/17322588/,10.1088/0967-3334/28/3/R01
lee_2013_rgb_reflection_ppg_motion_hr,Comparison between red green and blue light reflection photoplethysmography for heart rate monitoring during motion,IEEE EMBC / Kanazawa University Repository,2013,global,measurement_quality,research_context,21,5,4,33,已切分入向量索引,signal_quality；research_background,knowledge_base/sources/downloads/lee_2013_rgb_reflection_ppg_motion_hr.pdf,https://kanazawa-u.repo.nii.ac.jp/record/8500/files/TE-PR-YAMAKOSHI-T-1724.pdf,10.1109/EMBC.2013.6609852
tamura_2014_wearable_ppg_sensors_past_present,Wearable Photoplethysmographic Sensors - Past and Present,Electronics,2014,global,measurement_quality,review,21,4,21,103,已切分入向量索引,signal_quality；research_background,knowledge_base/sources/downloads/tamura_2014_wearable_ppg_sensors_past_present.pdf,https://www.mdpi.com/2079-9292/3/2/282,10.3390/electronics3020282
sun_2016_ppg_revisited_contact_noncontact_imaging,Photoplethysmography Revisited - From Contact to Noncontact From Point to Imaging,IEEE Transactions on Biomedical Engineering,2016,global,measurement_quality,review,22,4,35,179,已切分入向量索引,signal_quality；cuffless_ppg_limitations；research_background,knowledge_base/sources/downloads/sun_2016_ppg_revisited_contact_noncontact_imaging.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC4822420/,10.1109/TBME.2015.2476337
frontiers_2019_ppg_measurement_site_waveform,Quantitative Comparison of Photoplethysmographic Waveform Characteristics - Effect of Measurement Site,Frontiers in Physiology,2019,global,measurement_quality,research_context,22,4,8,59,已切分入向量索引,signal_quality；research_background,knowledge_base/sources/downloads/frontiers_2019_ppg_measurement_site_waveform.pdf,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2019.00198/full,10.3389/fphys.2019.00198
tamura_2019_current_progress_ppg_spo2,Current progress of photoplethysmography and SpO2 for health monitoring,Biomedical Engineering Letters,2019,global,measurement_quality,review,21,5,16,127,已切分入向量索引,signal_quality；research_background,knowledge_base/sources/downloads/tamura_2019_current_progress_ppg_spo2.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC6431353/,10.1007/s13534-019-00097-w
bent_2020_wearable_optical_hr_inaccuracy,Investigating sources of inaccuracy in wearable optical heart rate sensors,npj Digital Medicine,2020,US,measurement_quality,research_context,20,5,9,94,已切分入向量索引,signal_quality；research_background,knowledge_base/sources/downloads/bent_2020_wearable_optical_hr_inaccuracy.pdf,https://www.nature.com/articles/s41746-020-0226-6,10.1038/s41746-020-0226-6
chandrasekhar_2020_contact_pressure_cuffless_bp,PPG Sensor Contact Pressure Should Be Taken Into Account for Cuff-Less Blood Pressure Measurement,IEEE Transactions on Biomedical Engineering,2020,global,measurement_quality,research_context,20,5,14,56,已切分入向量索引,signal_quality；cuffless_ppg_limitations；research_background,knowledge_base/sources/downloads/chandrasekhar_2020_contact_pressure_cuffless_bp.pdf,https://ieeexplore.ieee.org/document/9016235,10.1109/TBME.2020.2976989
shirbani_2020_ambient_light_skin_tone_vpg,Effect of Ambient Lighting and Skin Tone on Estimation of Heart Rate and Pulse Transit Time from Video Plethysmography,IEEE EMBC,2020,global,measurement_quality,research_context,19,5,4,36,已切分入向量索引,signal_quality；research_background,knowledge_base/sources/downloads/shirbani_2020_ambient_light_skin_tone_vpg.pdf,https://ieeexplore.ieee.org/document/9176731,10.1109/EMBC44109.2020.9176731
sjoding_2020_racial_bias_pulse_oximetry,Racial Bias in Pulse Oximetry Measurement,New England Journal of Medicine,2020,US,measurement_quality,research_context,21,4,5,13,已切分入向量索引,signal_quality；research_background；disclaimer,knowledge_base/sources/downloads/sjoding_2020_racial_bias_pulse_oximetry.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC7808260/,10.1056/NEJMc2029240
fine_2021_ppg_sources_of_inaccuracy,Sources of Inaccuracy in Photoplethysmography for Continuous Cardiovascular Monitoring,Biosensors,2021,global,measurement_quality,review,23,3,36,284,已切分入向量索引,signal_quality；cuffless_ppg_limitations；research_background,knowledge_base/sources/downloads/fine_2021_ppg_sources_of_inaccuracy.pdf,https://www.mdpi.com/2079-6374/11/4/126,10.3390/bios11040126
lee_2021_skin_compatible_wearable_ppg,Systematic Review on Human Skin-Compatible Wearable Photoplethysmography Sensors,Applied Sciences,2021,global,measurement_quality,review,22,5,21,178,已切分入向量索引,signal_quality；research_background,knowledge_base/sources/downloads/lee_2021_skin_compatible_wearable_ppg.pdf,https://www.mdpi.com/2076-3417/11/5/2313,10.3390/app11052313
cabanas_2022_skin_pigmentation_pulse_oximetry_bibliometric,Skin Pigmentation Influence on Pulse Oximetry Accuracy - A Systematic Review and Bibliometric Analysis,Sensors,2022,global,measurement_quality,review,22,5,20,127,已切分入向量索引,signal_quality；research_background；disclaimer,knowledge_base/sources/downloads/cabanas_2022_skin_pigmentation_pulse_oximetry_bibliometric.pdf,https://www.mdpi.com/1424-8220/22/9/3402,10.3390/s22093402
charlton_2022_ppg_best_practices,Establishing best practices in photoplethysmography signal acquisition and processing,Physiological Measurement,2022,global,measurement_quality,review,23,5,6,48,已切分入向量索引,signal_quality；remeasurement；research_background,knowledge_base/sources/downloads/charlton_2022_ppg_best_practices.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC9136485/,10.1088/1361-6579/ac6cc4
charlton_2022_wearable_ppg_cardiovascular_review,Wearable Photoplethysmography for Cardiovascular Monitoring,Proceedings of the IEEE,2022,global,measurement_quality,review,22,5,28,259,已切分入向量索引,signal_quality；cuffless_ppg_limitations；research_background,knowledge_base/sources/downloads/charlton_2022_wearable_ppg_cardiovascular_review.pdf,https://ieeexplore.ieee.org/document/9731763,10.1109/JPROC.2022.3149785
desquins_2022_ppg_quality_assessment_survey,A Survey of Photoplethysmography and Imaging Photoplethysmography Quality Assessment Methods,Applied Sciences,2022,global,measurement_quality,review,22,5,25,132,已切分入向量索引,signal_quality；remeasurement；research_background,knowledge_base/sources/downloads/desquins_2022_ppg_quality_assessment_survey.pdf,https://www.mdpi.com/2076-3417/12/19/9582,10.3390/app12199582
park_2022_ppg_analysis_applications_integrative_review,Photoplethysmogram Analysis and Applications - An Integrative Review,Frontiers in Physiology,2022,global,measurement_quality,review,23,3,23,230,已切分入向量索引,signal_quality；cuffless_ppg_limitations；research_background,knowledge_base/sources/downloads/park_2022_ppg_analysis_applications_integrative_review.pdf,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2021.808451/full,10.3389/fphys.2021.808451
shi_2022_skin_pigmentation_pulse_oximetry_systematic_review,The accuracy of pulse oximetry in measuring oxygen saturation by levels of skin pigmentation - a systematic review and meta-analysis,BMC Medicine,2022,global,measurement_quality,review,22,4,14,98,已切分入向量索引,signal_quality；research_background；disclaimer,knowledge_base/sources/downloads/shi_2022_skin_pigmentation_pulse_oximetry_systematic_review.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC9377806/,10.1186/s12916-022-02452-8
charlton_2023_wearable_ppg_roadmap,The 2023 wearable photoplethysmography roadmap,Physiological Measurement,2023,global,measurement_quality,review,24,5,90,577,已切分入向量索引,signal_quality；cuffless_ppg_limitations；device_advice；research_background,knowledge_base/sources/downloads/charlton_2023_wearable_ppg_roadmap.pdf,https://iopscience.iop.org/article/10.1088/1361-6579/acead2,10.1088/1361-6579/acead2
electronics_2023_ppg_wearable_devices_review,Photoplethysmography in Wearable Devices - A Comprehensive Review of Technological Advances Current Challenges and Future Directions,Electronics,2023,global,measurement_quality,review,23,5,24,179,已切分入向量索引,signal_quality；cuffless_ppg_limitations；research_background,knowledge_base/sources/downloads/electronics_2023_ppg_wearable_devices_review.pdf,https://www.mdpi.com/2079-9292/12/13/2923,10.3390/electronics12132923
arguello_prada_2024_ppg_motion_artifact_detection_review,Machine Learning Applied to Reference Signal-Less Detection of Motion Artifacts in Photoplethysmographic Signals - A Review,Sensors,2024,global,measurement_quality,review,23,3,17,124,已切分入向量索引,signal_quality；research_background,knowledge_base/sources/downloads/arguello_prada_2024_ppg_motion_artifact_detection_review.pdf,https://www.mdpi.com/1424-8220/24/22/7193,10.3390/s24227193
charlton_2025_wrist_ppg_signal_quality,Determinants of photoplethysmography signal quality at the wrist,PLOS Digital Health,2025,global,measurement_quality,research_context,23,5,24,140,已切分入向量索引,signal_quality；research_background,knowledge_base/sources/downloads/charlton_2025_wrist_ppg_signal_quality.pdf,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000585,10.1371/journal.pdig.0000585
who_2021_hypertension_pharmacological_treatment_guideline,Guideline for the pharmacological treatment of hypertension in adults,World Health Organization,2021,global,medication_safety,guideline,23,4,61,262,已切分入向量索引,medication_safety；special_population；home_bp_monitoring,knowledge_base/sources/downloads/who_2021_hypertension_pharmacological_treatment_guideline.pdf,https://iris.who.int/bitstreams/f062769d-f075-4a00-87af-0a2106e0bd04/download,
aha_prevent_equations_circulation_2024,Development and Validation of the American Heart Association Predicting Risk of Cardiovascular Disease EVENTs PREVENT Equations,American Heart Association / Circulation,2024,US,research_context,research_context,19,6,44,212,已切分入向量索引,research_background,knowledge_base/sources/downloads/aha_prevent_equations_circulation_2024.pdf,https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.123.067626,10.1161/CIRCULATIONAHA.123.067626
esc_2024_elevated_bp_hypertension_doi_report,ESC Declaration of Interests Report for the 2024 elevated blood pressure and hypertension guideline,European Society of Cardiology,2024,EU,research_context,research_context,19,6,67,257,已切分入向量索引,research_background,knowledge_base/sources/downloads/esc_2024_elevated_bp_hypertension_doi_report.pdf,https://www.escardio.org/Guidelines/Clinical-Practice-Guidelines/Elevated-Blood-Pressure-and-Hypertension,
esc_2024_pharmacotherapy_what_is_new,2024 ESC Guidelines for elevated blood pressure and hypertension - what is new in pharmacotherapy,European Heart Journal - Cardiovascular Pharmacotherapy,2025,EU,research_context,research_context,19,6,3,24,已切分入向量索引,research_background,knowledge_base/sources/downloads/esc_2024_pharmacotherapy_what_is_new.pdf,https://academic.oup.com/ehjcvp/article/11/1/7/7818405,10.1093/ehjcvp/pvae084
chinese_2023_elderly_hypertension_management_guideline,中国老年高血压管理指南2023,中国老年医学学会高血压分会 / 北京高血压防治协会,2023,CN,special_population,guideline,23,3,31,150,已切分入向量索引,special_population；home_bp_monitoring；remeasurement；medication_safety,knowledge_base/sources/downloads/chinese_2023_elderly_hypertension_management_guideline.pdf,https://medtion-image.medtion.com/uploads/1/file/public/202312/20231222151125_hjo32b9lsf.pdf,10.16439/j.issn.1673-7245.2023.06.003
kdigo_2024_ckd_guideline,KDIGO 2024 Clinical Practice Guideline for the Evaluation and Management of Chronic Kidney Disease,Kidney Disease - Improving Global Outcomes,2024,global,special_population,guideline,24,4,199,1632,已切分入向量索引,special_population；medication_safety；home_bp_monitoring,knowledge_base/sources/downloads/kdigo_2024_ckd_guideline.pdf,https://kdigo.org/guidelines/ckd-evaluation-and-management/kdigo-2024-ckd-guideline/,
aha_pregnancy_blood_pressure_categories,Blood Pressure Categories for Individuals who are Pregnant,American Heart Association,2025,AHA,special_population,official_health_education,25,3,1,1,已切分入向量索引,special_population；emergency_alert；remeasurement,knowledge_base/sources/downloads/aha_pregnancy_blood_pressure_categories.pdf,https://www.heart.org/-/media/GRFW-Files/Know-Your-Risk/Maternal-Health/Pregnancy_Blood_Pressure_Categories.pdf?sc_lang=en,
chinese_2025_secondary_hypertension_screening_consensus,继发性高血压筛查和诊断中国专家共识,中国高血压联盟等,2025,CN,special_population,guideline,22,6,15,79,已切分入向量索引,special_population；home_bp_monitoring；disclaimer,knowledge_base/sources/downloads/chinese_2025_secondary_hypertension_screening_consensus.pdf,https://bookcafe.yuntsg.com/ueditor/jsp/upload/file/20260117/1768636681085056202.pdf,
ada_2026_standards_cvd_bp,Cardiovascular Disease and Risk Management - Standards of Care in Diabetes 2026,American Diabetes Association,2026,US,special_population,guideline,25,4,30,360,已切分入向量索引,special_population；medication_safety；home_bp_monitoring,knowledge_base/sources/downloads/ada_2026_standards_cvd_bp.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12690187/,10.2337/dc26-S010
aami_esh_iso_2018_universal_validation_standard,A universal standard for the validation of blood pressure measuring devices,AAMI / European Society of Hypertension / International Organization for Standardization,2018,global,validated_devices,validation_standard,24,2,16,69,已切分入向量索引,device_advice；research_background,knowledge_base/sources/downloads/aami_esh_iso_2018_universal_validation_standard.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC5796427/,10.1097/HJH.0000000000001634
