topic,topic_cn,source_id,title,organization,year,evidence_class,evidence_class_cn,source_type,allowed_uses,url
home_bp_monitoring,家庭血压监测/规范测量,cdc_self_measured_bp_monitoring,Self-Measured Blood Pressure Monitoring,Centers for Disease Control and Prevention,2026,official_health_education,官方健康教育,toolkit,home_bp_monitoring;remeasurement;device_advice,https://www.cdc.gov/high-blood-pressure/php/toolkits/self-measured-blood-pressure-monitoring.html
home_bp_monitoring,家庭血压监测/规范测量,chinese_2011_bp_measurement_guideline,中国血压测量指南,中国高血压联盟 / 国家心血管病中心,2011,guideline,指南,measurement_guideline,home_bp_monitoring;remeasurement;device_advice,https://www.nccd.org.cn/UploadFile/201504/20150416170041172172.pdf
home_bp_monitoring,家庭血压监测/规范测量,esh_2021_home_bp_monitoring_position_paper,Home blood pressure monitoring - methodology clinical relevance and practical application,European Society of Hypertension,2021,scientific_statement,科学声明,position_paper_pdf,home_bp_monitoring;remeasurement;device_advice,https://sussex.figshare.com/articles/journal_contribution/Home_blood_pressure_monitoring_Methodology_clinical_relevance_and_practical_application_A_2021_position_paper_by_the_Working_Group_on_Blood_Pressure_Monitoring_and_Cardiovascular_Variability_of_the_European_Society_of_Hypertension/29269019
home_bp_monitoring,家庭血压监测/规范测量,esh_2023_hypertension_guideline,2023 ESH Guidelines for the management of arterial hypertension,European Society of Hypertension,2023,guideline,指南,guideline,home_bp_monitoring;remeasurement;special_population,https://www.eshonline.org/guidelines/2023-guidelines/
home_bp_monitoring,家庭血压监测/规范测量,healthy_china_cvd_action_2023_2030,健康中国行动—心脑血管疾病防治行动实施方案（2023—2030年）,国家卫生健康委等14部门,2023,official_health_education,官方健康教育,national_action_plan_html,home_bp_monitoring;lifestyle;remeasurement;special_population;disclaimer,https://www.gov.cn/zhengce/zhengceku/202311/content_6915365.htm
home_bp_monitoring,家庭血压监测/规范测量,ish_2020_global_guideline,2020 International Society of Hypertension Global Hypertension Practice Guidelines,International Society of Hypertension,2020,guideline,指南,guideline,home_bp_monitoring;remeasurement;lifestyle;special_population,https://ish-world.com/global-hypertension-practice-guidelines/
home_bp_monitoring,家庭血压监测/规范测量,medlineplus_measuring_blood_pressure,Blood pressure measurement,MedlinePlus,2026,official_health_education,官方健康教育,patient_education,home_bp_monitoring;remeasurement,https://medlineplus.gov/ency/article/007490.htm
home_bp_monitoring,家庭血压监测/规范测量,muntner_2019_aha_bp_measurement_scientific_statement,Measurement of Blood Pressure in Humans - A Scientific Statement From the American Heart Association,American Heart Association,2019,scientific_statement,科学声明,scientific_statement_pdf,home_bp_monitoring;remeasurement;device_advice;bp_category_reference,https://pmc.ncbi.nlm.nih.gov/articles/PMC11409525/
home_bp_monitoring,家庭血压监测/规范测量,nccd_2020_primary_hypertension_management_guideline,国家基层高血压防治管理指南（2020版）,国家心血管病中心 / 国家基本公共卫生服务项目基层高血压管理办公室,2020,guideline,指南,primary_care_guideline_pdf,home_bp_monitoring;remeasurement;lifestyle;special_population;emergency_alert,https://www.nccd.org.cn/Sites/Uploaded/File/2021/3/%E5%9B%BD%E5%AE%B6%E5%9F%BA%E5%B1%82%E9%AB%98%E8%A1%80%E5%8E%8B%E9%98%B2%E6%B2%BB%E7%AE%A1%E7%90%86%E6%8C%87%E5%8D%97%202020%E7%89%88.pdf
home_bp_monitoring,家庭血压监测/规范测量,nhc_2017_basic_public_health_service_hypertension_management,国家基本公共卫生服务规范（第三版）高血压患者健康管理服务规范,原国家卫生计生委,2017,guideline,指南,public_health_service_standard_pdf,home_bp_monitoring;remeasurement;special_population;emergency_alert,https://www.nhc.gov.cn/ewebeditor/uploadfile/2017/04/20170417104506514.pdf
home_bp_monitoring,家庭血压监测/规范测量,nhc_2024_hypertension_day_key_messages,2024年全国高血压日宣传要点,国家卫生健康委,2024,official_health_education,官方健康教育,public_health_message,home_bp_monitoring;lifestyle;remeasurement;disclaimer,https://www.nhc.gov.cn/ylyjs/gzdt/202409/bfc23c5086044eb0b4879e58e4df69e1.shtml
home_bp_monitoring,家庭血压监测/规范测量,nhc_2025_primary_care_hypertension_standard_ws_t_872,基层医疗卫生机构高血压防治管理标准 WS/T 872-2025,国家卫生健康委员会,2025,guideline,指南,national_health_standard,home_bp_monitoring;remeasurement;lifestyle;special_population,https://www.nhc.gov.cn/fzs/c100048/202509/2f3f7cce449145f8b361e70b3ed4ae9a/files/WS%20T%20872%E2%80%942025-20250930105429913.pdf
home_bp_monitoring,家庭血压监测/规范测量,nhlbi_self_measured_blood_pressure_fact_sheet,Self-Measured Blood Pressure,National Heart Lung and Blood Institute,2023,official_health_education,官方健康教育,patient_instruction_pdf,home_bp_monitoring;remeasurement;device_advice,https://www.nhlbi.nih.gov/resources/self-measured-blood-pressure-fact-sheet
home_bp_monitoring,家庭血压监测/规范测量,nice_ng136_hypertension,Hypertension in adults - diagnosis and management,National Institute for Health and Care Excellence,2023,guideline,指南,guideline,home_bp_monitoring;remeasurement;bp_category_reference,https://www.nice.org.uk/guidance/ng136/chapter/1-Recommendations
home_bp_monitoring,家庭血压监测/规范测量,state_council_chronic_disease_plan_2017_2025,中国防治慢性病中长期规划（2017—2025年）,国务院办公厅,2017,official_health_education,官方健康教育,national_chronic_disease_plan_html,home_bp_monitoring;lifestyle;remeasurement;disclaimer,https://www.gov.cn/zhengce/content/2017-02/14/content_5167886.htm
home_bp_monitoring,家庭血压监测/规范测量,uspstf_hypertension_screening_adults,Hypertension in Adults - Screening,U.S. Preventive Services Task Force,2021,guideline,指南,recommendation_statement,home_bp_monitoring;remeasurement;bp_category_reference;disclaimer,https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/hypertension-in-adults-screening
lifestyle,生活方式,aha_getting_active_bp,Getting Active to Control High Blood Pressure,American Heart Association,2026,official_health_education,官方健康教育,patient_education,lifestyle,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/getting-active-to-control-high-blood-pressure
lifestyle,生活方式,aha_life_essential_8_manage_blood_pressure,Life's Essential 8 - How to Manage Blood Pressure,American Heart Association,2026,official_health_education,官方健康教育,patient_education_pdf,lifestyle,https://www.heart.org/-/media/Healthy-Living-Files/LE8-Fact-Sheets/LE8_How_To_Manage_Blood_Pressure.pdf
lifestyle,生活方式,aha_lifestyle_manage_bp,Changes You Can Make to Manage High Blood Pressure,American Heart Association,2026,official_health_education,官方健康教育,patient_education,lifestyle;home_bp_monitoring,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure
lifestyle,生活方式,aha_reduce_high_blood_pressure_answers_by_heart,How Can I Lower High Blood Pressure?,American Heart Association,2025,official_health_education,官方健康教育,patient_education_pdf,lifestyle,https://www.heart.org/-/media/files/health-topics/answers-by-heart/how-can-i-reduce-high-blood-pressure.pdf
lifestyle,生活方式,aha_sodium_salt,Sodium and Salt,American Heart Association,2026,official_health_education,官方健康教育,patient_education,lifestyle,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sodium/sodium-and-salt
lifestyle,生活方式,aha_steps_to_improve_high_bp,Simple Steps to Improve Your High Blood Pressure,American Heart Association,2025,official_health_education,官方健康教育,patient_education_pdf,lifestyle,https://www.heart.org/-/media/Files/Health-Topics/High-Blood-Pressure/Steps-To-Improve-High-BP.pdf
lifestyle,生活方式,aha_stress_management,Managing Stress to Control High Blood Pressure,American Heart Association,2026,official_health_education,官方健康教育,patient_education,lifestyle,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/managing-stress-to-control-high-blood-pressure
lifestyle,生活方式,aha_weight_bp,Managing Weight to Control High Blood Pressure,American Heart Association,2026,official_health_education,官方健康教育,patient_education,lifestyle,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/managing-weight-to-control-high-blood-pressure
lifestyle,生活方式,cdc_high_bp_risk_factors,High Blood Pressure Risk Factors,Centers for Disease Control and Prevention,2026,official_health_education,官方健康教育,patient_education,lifestyle;special_population,https://www.cdc.gov/high-blood-pressure/risk-factors/index.html
lifestyle,生活方式,cdc_physical_activity_basics,Physical Activity Basics,Centers for Disease Control and Prevention,2026,official_health_education,官方健康教育,patient_education,lifestyle,https://www.cdc.gov/physical-activity-basics/
lifestyle,生活方式,cdc_prevent_high_blood_pressure,Prevent High Blood Pressure,Centers for Disease Control and Prevention,2026,official_health_education,官方健康教育,patient_education,lifestyle,https://www.cdc.gov/high-blood-pressure/prevention/index.html
lifestyle,生活方式,cdc_quit_smoking,How to Quit Smoking,Centers for Disease Control and Prevention,2026,official_health_education,官方健康教育,patient_education,lifestyle,https://www.cdc.gov/tobacco/campaign/tips/quit-smoking/
lifestyle,生活方式,chinese_2013_hypertension_patient_education_guideline,中国高血压患者教育指南,中国高血压患者教育指南编撰委员会,2013,patient_education,患者教育,patient_education_guideline,lifestyle;home_bp_monitoring;disclaimer,https://www.nccd.org.cn/UploadFile/201504/20150418172843860860.pdf
lifestyle,生活方式,healthy_china_2019_2030_action,健康中国行动（2019-2030年）,健康中国行动推进委员会,2019,official_health_education,官方健康教育,national_policy_plan_pdf,lifestyle;home_bp_monitoring;remeasurement;disclaimer,https://www.nhc.gov.cn/cms-search/downFiles/470339610aea4a7887d0810b4c00c9bd.pdf
lifestyle,生活方式,medlineplus_high_blood_pressure,High Blood Pressure,MedlinePlus,2026,official_health_education,官方健康教育,patient_education,lifestyle;home_bp_monitoring;special_population,https://medlineplus.gov/highbloodpressure.html
lifestyle,生活方式,nhc_2023_adult_hypertension_dietary_guideline,成人高血压食养指南（2023年版）,国家卫生健康委办公厅,2023,guideline,指南,national_nutrition_guideline_pdf,lifestyle;home_bp_monitoring;remeasurement;special_population,https://www.nhc.gov.cn/sps/c100088/202301/f01895a06c5349ef999f25da833c166d.shtml
lifestyle,生活方式,nhc_2024_chinese_health_literacy_basic_skills,中国公民健康素养——基本知识与技能（2024年版）,国家卫生健康委办公厅,2024,official_health_education,官方健康教育,national_health_literacy_html,lifestyle;home_bp_monitoring;remeasurement;emergency_alert;medication_safety;disclaimer,https://www.nhc.gov.cn/xcs/c100123/202405/73a4927142f34152abed875634a3c13b.shtml
lifestyle,生活方式,nhc_2024_hypertension_nutrition_exercise_guidance,高血压营养和运动指导原则（2024年版）,国家卫生健康委办公厅,2024,official_health_education,官方健康教育,national_guidance,lifestyle;special_population;home_bp_monitoring,https://app.www.gov.cn/govdata/gov/202407/02/516820/article.html
lifestyle,生活方式,nhc_ws_t_430_2013_hypertension_dietary_guidance,高血压患者膳食指导 WS/T 430-2013,国家卫生健康委员会,2013,validation_standard,验证标准/监管,health_industry_standard_pdf,lifestyle;home_bp_monitoring;remeasurement,https://www.nhc.gov.cn/wjw/yingyang/201308/cce5017663e6457d98db7be683c36b4c.shtml
lifestyle,生活方式,nhlbi_dash_lowering_blood_pressure_guide,Your Guide to Lowering Your Blood Pressure with DASH,National Heart Lung and Blood Institute,2026,official_health_education,官方健康教育,patient_education_pdf,lifestyle,https://www.nhlbi.nih.gov/files/docs/public/heart/new_dash.pdf
lifestyle,生活方式,nia_sleep_health,A Good Night's Sleep,National Institute on Aging,2026,official_health_education,官方健康教育,patient_education,lifestyle,https://www.nia.nih.gov/health/sleep/good-nights-sleep
lifestyle,生活方式,nih_dash_eating_plan,DASH Eating Plan,National Heart Lung and Blood Institute,2026,official_health_education,官方健康教育,patient_education,lifestyle,https://www.nhlbi.nih.gov/education/dash-eating-plan
measurement_quality,PPG/测量质量,allen_2007_ppg_clinical_measurement_review,Photoplethysmography and its application in clinical physiological measurement,Physiological Measurement,2007,review,综述,peer_reviewed_review,signal_quality;cuffless_ppg_limitations;remeasurement;research_background,https://pubmed.ncbi.nlm.nih.gov/17322588/
measurement_quality,PPG/测量质量,arguello_prada_2024_ppg_motion_artifact_detection_review,Machine Learning Applied to Reference Signal-Less Detection of Motion Artifacts in Photoplethysmographic Signals - A Review,Sensors,2024,review,综述,review_pdf,signal_quality;research_background,https://www.mdpi.com/1424-8220/24/22/7193
measurement_quality,PPG/测量质量,bent_2020_wearable_optical_hr_inaccuracy,Investigating sources of inaccuracy in wearable optical heart rate sensors,npj Digital Medicine,2020,research_context,研究背景,wearable_optical_sensor_accuracy_study,signal_quality;research_background,https://www.nature.com/articles/s41746-020-0226-6
measurement_quality,PPG/测量质量,cabanas_2022_skin_pigmentation_pulse_oximetry_bibliometric,Skin Pigmentation Influence on Pulse Oximetry Accuracy - A Systematic Review and Bibliometric Analysis,Sensors,2022,review,综述,systematic_review_pdf,signal_quality;research_background;disclaimer,https://www.mdpi.com/1424-8220/22/9/3402
measurement_quality,PPG/测量质量,chandrasekhar_2020_contact_pressure_cuffless_bp,PPG Sensor Contact Pressure Should Be Taken Into Account for Cuff-Less Blood Pressure Measurement,IEEE Transactions on Biomedical Engineering,2020,research_context,研究背景,cuffless_bp_contact_pressure_study,signal_quality;cuffless_ppg_limitations;research_background,https://ieeexplore.ieee.org/document/9016235
measurement_quality,PPG/测量质量,charlton_2022_ppg_best_practices,Establishing best practices in photoplethysmography signal acquisition and processing,Physiological Measurement,2022,review,综述,editorial_review,signal_quality;remeasurement;research_background,https://pmc.ncbi.nlm.nih.gov/articles/PMC9136485/
measurement_quality,PPG/测量质量,charlton_2022_wearable_ppg_cardiovascular_review,Wearable Photoplethysmography for Cardiovascular Monitoring,Proceedings of the IEEE,2022,review,综述,peer_reviewed_review,signal_quality;cuffless_ppg_limitations;research_background,https://ieeexplore.ieee.org/document/9731763
measurement_quality,PPG/测量质量,charlton_2023_wearable_ppg_roadmap,The 2023 wearable photoplethysmography roadmap,Physiological Measurement,2023,review,综述,roadmap_review,signal_quality;cuffless_ppg_limitations;device_advice;research_background,https://iopscience.iop.org/article/10.1088/1361-6579/acead2
measurement_quality,PPG/测量质量,charlton_2025_wrist_ppg_signal_quality,Determinants of photoplethysmography signal quality at the wrist,PLOS Digital Health,2025,research_context,研究背景,observational_signal_quality_study,signal_quality;research_background,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000585
measurement_quality,PPG/测量质量,desquins_2022_ppg_quality_assessment_survey,A Survey of Photoplethysmography and Imaging Photoplethysmography Quality Assessment Methods,Applied Sciences,2022,review,综述,quality_assessment_survey,signal_quality;remeasurement;research_background,https://www.mdpi.com/2076-3417/12/19/9582
measurement_quality,PPG/测量质量,electronics_2023_ppg_wearable_devices_review,Photoplethysmography in Wearable Devices - A Comprehensive Review of Technological Advances Current Challenges and Future Directions,Electronics,2023,review,综述,review_pdf,signal_quality;cuffless_ppg_limitations;research_background,https://www.mdpi.com/2079-9292/12/13/2923
measurement_quality,PPG/测量质量,fda_pulse_oximeter_limitations,Pulse Oximeter Accuracy and Limitations,U.S. Food and Drug Administration,2026,official_health_education,官方健康教育,safety_communication,signal_quality;cuffless_ppg_limitations,https://www.fda.gov/medical-devices/safety-communications/pulse-oximeter-accuracy-and-limitations-fda-safety-communication
measurement_quality,PPG/测量质量,fine_2021_ppg_sources_of_inaccuracy,Sources of Inaccuracy in Photoplethysmography for Continuous Cardiovascular Monitoring,Biosensors,2021,review,综述,review_pdf,signal_quality;cuffless_ppg_limitations;research_background,https://www.mdpi.com/2079-6374/11/4/126
measurement_quality,PPG/测量质量,frontiers_2019_ppg_measurement_site_waveform,Quantitative Comparison of Photoplethysmographic Waveform Characteristics - Effect of Measurement Site,Frontiers in Physiology,2019,research_context,研究背景,research_article_pdf,signal_quality;research_background,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2019.00198/full
measurement_quality,PPG/测量质量,lee_2013_rgb_reflection_ppg_motion_hr,Comparison between red green and blue light reflection photoplethysmography for heart rate monitoring during motion,IEEE EMBC / Kanazawa University Repository,2013,research_context,研究背景,conference_paper_pdf,signal_quality;research_background,https://kanazawa-u.repo.nii.ac.jp/record/8500/files/TE-PR-YAMAKOSHI-T-1724.pdf
measurement_quality,PPG/测量质量,lee_2021_skin_compatible_wearable_ppg,Systematic Review on Human Skin-Compatible Wearable Photoplethysmography Sensors,Applied Sciences,2021,review,综述,systematic_review_pdf,signal_quality;research_background,https://www.mdpi.com/2076-3417/11/5/2313
measurement_quality,PPG/测量质量,local_capture_environment_rule,Camera PPG capture environment rule,project,2026,safety_rule,项目安全规则,local_safety_rule,signal_quality;remeasurement;cuffless_ppg_limitations,
measurement_quality,PPG/测量质量,local_confidence_interpretation_rule,Model confidence interpretation rule,project,2026,safety_rule,项目安全规则,local_safety_rule,signal_quality;remeasurement,
measurement_quality,PPG/测量质量,local_ppg_signal_quality_rule,PPG signal quality and confidence safety rule,project,2026,safety_rule,项目安全规则,local_safety_rule,signal_quality;remeasurement;cuffless_ppg_limitations,
measurement_quality,PPG/测量质量,park_2022_ppg_analysis_applications_integrative_review,Photoplethysmogram Analysis and Applications - An Integrative Review,Frontiers in Physiology,2022,review,综述,review_pdf,signal_quality;cuffless_ppg_limitations;research_background,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2021.808451/full
measurement_quality,PPG/测量质量,shi_2022_skin_pigmentation_pulse_oximetry_systematic_review,The accuracy of pulse oximetry in measuring oxygen saturation by levels of skin pigmentation - a systematic review and meta-analysis,BMC Medicine,2022,review,综述,systematic_review_pdf,signal_quality;research_background;disclaimer,https://pmc.ncbi.nlm.nih.gov/articles/PMC9377806/
measurement_quality,PPG/测量质量,shirbani_2020_ambient_light_skin_tone_vpg,Effect of Ambient Lighting and Skin Tone on Estimation of Heart Rate and Pulse Transit Time from Video Plethysmography,IEEE EMBC,2020,research_context,研究背景,video_ppg_lighting_skin_tone_study,signal_quality;research_background,https://ieeexplore.ieee.org/document/9176731
measurement_quality,PPG/测量质量,sjoding_2020_racial_bias_pulse_oximetry,Racial Bias in Pulse Oximetry Measurement,New England Journal of Medicine,2020,research_context,研究背景,research_letter_pdf,signal_quality;research_background;disclaimer,https://pmc.ncbi.nlm.nih.gov/articles/PMC7808260/
measurement_quality,PPG/测量质量,sun_2016_ppg_revisited_contact_noncontact_imaging,Photoplethysmography Revisited - From Contact to Noncontact From Point to Imaging,IEEE Transactions on Biomedical Engineering,2016,review,综述,review_pdf,signal_quality;cuffless_ppg_limitations;research_background,https://pmc.ncbi.nlm.nih.gov/articles/PMC4822420/
